종목코드,회사명,유동자산,유동부채,투자자산,비유동부채,영업이익,기업가치,시가총액,안전마진율
004020,현대제철,8769003000000,6702510000000,9579273000000,1315065000000,1026089000000,5505540800000,5491300000000,0.25933385537122355
208710,바이오로그디바이스,42415000000,27705000000,2791000000,5690000000,7987000000,115801650000,57400000000,101.74503484320559
145210,세화아이엠씨,69958000000,129777000000,14177000000,3573000000,-27003000000,-467198230000,87900000000,-631.5110693970421
065440,이루온,42809000000,20392000000,5504000000,819000000,1261000000,28589620000,45100000000,-36.60838137472284
189860,서전기전,0,0,0,0,0,0,39400000000,-100.0
004770,써니전자,23747000000,4544000000,7950000000,22525000000,646000000,41052040000,93200000000,-55.95274678111588
213500,한솔제지,633203000000,817388000000,397935000000,157000000,111355000000,662015980000,340300000000,94.53893035556862
049630,재영솔루텍,65917000000,96121000000,22476000000,126000000,3114000000,-39012890000,84100000000,-146.3886920332937
067390,아스트,191498000000,107665000000,166826000000,23978000000,10832000000,53827750000,183200000000,-70.6180403930131
004560,현대비앤지스틸,358105000000,143598000000,79995000000,1705000000,35042000000,560632180000,132800000000,322.1627861445783
210540,디와이파워,145759000000,91722000000,16636000000,2606000000,35806000000,489627420000,149600000000,227.29105614973264
080580,오킨스전자,18004000000,16384000000,8914000000,796000000,1197000000,4670740000,19100000000,-75.54586387434556
021650,한국큐빅,73439000000,69716000000,16496000000,1676000000,3169000000,10833060000,40400000000,-73.18549504950495
051370,인터플렉스,132307000000,112206000000,11706000000,35708000000,-66225000000,-869229240000,260100000000,-434.1904036908881
028260,삼성물산,13671292000000,13016831000000,6840886000000,21756359000000,1103890000000,26476790010000,17755000000000,49.123007659814135
208350,지란지교시큐리티,53197000000,14155000000,2111000000,2220000000,3073000000,75916950000,55600000000,36.541276978417265
009470,삼화전기,70612000000,54153000000,14998000000,18081000000,7031000000,97349930000,108800000000,-10.523961397058823
112610,씨에스윈드,386706000000,225780000000,62097000000,3892000000,32745000000,472753300000,665500000000,-28.962689706987227
065570,삼영이엔씨,59286000000,10134000000,526000000,478000000,921000000,58414440000,49300000000,18.487707910750505
160550,넥스트엔터테인먼트월드,134773000000,106294000000,21136000000,33134000000,-10606000000,-131408060000,152900000000,-185.9437933289732
010770,평화홀딩스,196959000000,287598000000,68627000000,129037000000,-24850000000,-444137420000,62000000000,-816.3506774193548
018260,삼성SDS,5881776000000,1574796000000,290501000000,70571000000,877356000000,15299193960000,15785100000000,-3.078257597354467
066980,브레인콘텐츠,151255000000,36014000000,56204000000,7046000000,-377000000,50624840000,139700000000,-63.76174659985684
124500,아이티센,216522000000,168762000000,59175000000,23878000000,10403000000,101881920000,76700000000,32.83170795306389
007110,일신석재,0,0,0,0,0,0,175800000000,-100.0
204320,만도,1972735000000,1835788000000,1119719000000,77593000000,197411000000,1188008780000,1408700000000,-15.666303684247888
016100,리더스코스메틱,73914000000,55182000000,10221000000,4211000000,-13630000000,-184559780000,181700000000,-201.5739020363236
142280,녹십자엠에스,44865000000,21744000000,25466000000,31000000,-5919000000,-87342460000,96700000000,-190.32312306101343
016380,동부제철,887514000000,1019110000000,1488933000000,12259000000,-65614000000,-2776478100000,230400000000,-1305.0686197916666
