종목코드,회사명,기업가치
002630,오리엔트바이오,-126681810000.0
192410,감마누,-19436310000.0
063440,에스엠라이프디자인그룹,20333590000.0
001550,조비,0.0
047810,한국항공우주산업,1207622580000.0
005430,한국공항,428705750000.0
051160,지어소프트,10522550000.0
187270,신화콘텍,-10316890000.0
065060,지엔코,-248538680000.0
177830,파버나인,29654910000.0
071840,롯데하이마트,0.0
004910,조광페인트,-9391410000.0
049180,셀루메드,-163095320000.0
090410,덕신하우징,146740900000.0
004690,삼천리,-203195030000.0
060720,KH바텍,-250154280000.0
138490,코오롱플라스틱,258915080000.0
004650,창해에탄올,33214920000.0
061040,알에프텍,0.0
139480,이마트,800519730000.0
050760,에스폴리텍,36169150000.0
054210,이랜텍,-90930850000.0
200130,콜마비앤에이치,850516140000.0
053210,케이티스카이라이프,1136069310000.0
001570,금양,156098370000.0
050120,라이브플렉스,-7081070000.0
105550,트루윈,0.0
019440,세아특수강,363039330000.0
003960,사조대림,325730600000.0
054410,케이피티유,33318210000.0
196450,텔루스,-72700350000.0
002070,남영비비안,-8233580000.0
060310,삼에스코리아,-1162410000.0
071850,캐스텍코리아,-10119010000.0
003570,S&T중공업,365680750000.0
061250,화일약품,0.0
187790,나노,23869330000.0
004960,한신공영,2516147980000.0
053980,오상자이엘,-9476950000.0
192250,케이사인,47593050000.0
004370,농심,1505503010000.0
020150,일진머티리얼즈,852423370000.0
054050,농업회사법인농우바이오,175945290000.0
138080,오이솔루션,26363190000.0
003720,삼영화학공업,-111478440000.0
011210,현대위아,-281700580000.0
039420,케이엘넷,62101370000.0
108790,인터파크,-55342200000.0
004980,성신양회,-118867810000.0
039440,에스티아이,366243870000.0
053300,한국정보인증,177627120000.0
004970,신라교역,308992260000.0
136490,선진,181558420000.0
154040,솔루에타,24192590000.0
049550,잉크테크,-58888400000.0
002870,신풍제지,131674580000.0
134790,시디즈,0.0
090850,이지웰페어,76187780000.0
060590,씨티씨바이오,-106464310000.0
082740,에이치에스디엔진,-839524920000.0
001630,종근당홀딩스,985332990000.0
049070,인탑스,592338050000.0
117580,대성에너지,20608970000.0
184230,에스지에이솔루션즈,-118070110000.0
005740,크라운해태홀딩스,-61533950000.0
126560,현대에이치씨엔,944531330000.0
049080,기가레인,-76481260000.0
150840,인트로메딕,-36709820000.0
002390,한독,212509000000.0
130660,한전산업개발,195982090000.0
085810,알티캐스트,94522340000.0
001380,SG충방,42745360000.0
053660,현진소재,-352949840000.0
900140,엘브이엠씨홀딩스,-139606650000.0
170030,현대공업,41367580000.0
006120,에스케이디스커버리,1631843680000.0
030790,동양네트웍스,-213781720000.0
053270,구영테크,-20765360000.0
007540,샘표,289408540000.0
067570,엔브이에이치코리아,-287648730000.0
034950,한국기업평가,415268010000.0
081660,휠라코리아,4157719960000.0
134580,디엠티,46444030000.0
058850,케이티씨에스,220872750000.0
003280,흥아해운,-1142635060000.0
182360,큐브엔터테인먼트,29252470000.0
001250,지에스글로벌,432061620000.0
057050,현대홈쇼핑,2315931820000.0
060380,동양에스텍,11841500000.0
002990,금호산업,620600360000.0
002150,도화엔지니어링,266080680000.0
046310,백금티앤에이,98908200000.0
001470,삼부토건,-63112210000.0
128820,대성산업,-374522850000.0
058530,슈펙스비앤피,-247455650000.0
171010,램테크놀러지,4732320000.0
001820,삼화콘덴서공업,1117241830000.0
122900,아이마켓코리아,564576860000.0
049720,고려신용정보,0.0
161570,더 미동,-14148140000.0
001020,페이퍼코리아,-315429240000.0
128940,한미약품,700815030000.0
001520,동양,404888050000.0
138360,에이씨티,-574980000.0
105840,우진,-10479800000.0
046890,서울반도체,1180940630000.0
076610,해성옵틱스,-201706060000.0
033920,무학,96576590000.0
000880,한화,10243820110000.0
168330,내츄럴엔도텍,-187981010000.0
013990,아가방앤컴퍼니,-153933770000.0
001060,JW중외제약,269975480000.0
058450,일야,0.0
102460,이연제약,182327260000.0
150900,파수닷컴,19370720000.0
123690,한국화장품,-87609340000.0
000670,영풍,311973880000.0
170920,엘티씨,23891670000.0
059090,미코,567803760000.0
123700,에스제이엠,99927590000.0
001340,백광산업,0.0
119850,지엔씨에너지,112442190000.0
050320,에이앤티앤,-41138960000.0
060980,한라홀딩스,1097127290000.0
000180,성창기업지주,-193277420000.0
092040,아미코젠,72763100000.0
005110,한창,53098920000.0
054930,유신,0.0
130500,GH신소재,3577780000.0
035200,프럼파스트,58358830000.0
031440,신세계푸드,218117770000.0
170790,파이오링크,0.0
054040,한국컴퓨터,-53688330000.0
000040,KR모터스,-234729960000.0
151860,케이지이티에스,194040960000.0
002240,고려제강,582679270000.0
060300,레드로버,-257011380000.0
120110,코오롱인더스트리,504541850000.0
089600,나스미디어,367848480000.0
004100,태양금속공업,-69089190000.0
042500,링네트,91039910000.0
119650,케이씨코트렐,23077880000.0
950130,엑세스바이오인코퍼레이션,-69547700000.0
002820,선창산업,-256713550000.0
058420,제이웨이,0.0
071320,한국지역난방공사,-3516575710000.0
141080,레고켐바이오사이언스,-133219740000.0
004840,DRB동일,344518010000.0
040350,큐로컴,-110992110000.0
158310,인터불스,-70318250000.0
115390,락앤락,771478940000.0
002350,넥센타이어,1456213800000.0
054300,팬스타엔터프라이즈,0.0
012160,영흥철강,-67547650000.0
104540,코렌텍,-61595640000.0
118000,우리들휴브레인,-87218850000.0
159580,제로투세븐,-61464010000.0
004060,SG세계물산,91675660000.0
054340,피앤텔,-103567870000.0
047080,한빛소프트,1186830000.0
004000,롯데정밀화학,3384493590000.0
153490,우리이앤엘,87395120000.0
114090,그랜드코리아레저,1751124100000.0
060250,엔에이치엔한국사이버결제,291521250000.0
000020,동화약품,321746380000.0
099190,아이센스,403185700000.0
034730,SK,43963581820000.0
000210,대림산업,10952267930000.0
053260,금강철강,103700260000.0
032560,황금에스티,345227700000.0
001120,LG상사,1179871750000.0
060240,룽투코리아,100970750000.0
141020,포티스,-81869990000.0
002720,국제약품,30478100000.0
000080,하이트진로,-472929640000.0
159910,스킨앤스킨,-44415830000.0
056730,포스링크,-71732600000.0
003240,태광산업,6059630290000.0
950110,SBI핀테크솔루션즈,100656100000.0
057500,SKC솔믹스,296799010000.0
047400,유니온머티리얼,-6968200000.0
041930,동아화성,155686060000.0
006390,한일현대시멘트,0.0
046970,우리로,36859790000.0
093240,형지엘리트,1695950000.0
054220,비츠로시스,0.0
000590,CS홀딩스,332539790000.0
113810,디젠스,-55320790000.0
014940,오리엔탈정공,-131318510000.0
005390,신성통상,140605480000.0
111770,영원무역,3275972540000.0
043590,크로바하이텍,-151057000000.0
155650,와이엠씨,313541380000.0
000990,DB하이텍,1363149060000.0
058470,리노공업,0.0
149950,아바텍,0.0
006570,대림통상,-12942320000.0
053690,한미글로벌건축사사무소,178734320000.0
000220,유유제약,87233580000.0
045300,성우테크론,99266970000.0
028100,동아지질,425647170000.0
121850,코이즈,-122379150000.0
000860,강남제비스코,269855190000.0
056190,에스에프에이,3366607920000.0
149940,모다,0.0
071970,STX중공업,-363893240000.0
151910,나노스,-68600900000.0
056700,신화인터텍,-100490950000.0
108670,엘지하우시스,248925740000.0
054940,엑사이엔씨,66228430000.0
002700,신일산업,0.0
097520,엠씨넥스,431520860000.0
105630,한세실업,557023630000.0
043370,평화정공,338651810000.0
109070,컨버즈,-216030100000.0
054620,에이피홀딩스,118279140000.0
001360,삼성제약,-19092170000.0
107590,미원홀딩스,131689950000.0
153460,네이블커뮤니케이션즈,0.0
056360,코위버,28377020000.0
035420,네이버,15476907020000.0
106520,디지탈옵틱,-262508590000.0
043260,성호전자,-17626640000.0
026940,부국철강,0.0
003230,삼양식품,657828080000.0
038340,유씨아이,-623770000.0
137400,피엔티,11080410000.0
104700,한국철강,0.0
008260,NI스틸,0.0
051390,와이더블유,62627490000.0
141000,비아트론,488710620000.0
103590,일진전기,-217255370000.0
000230,일동홀딩스,40069910000.0
072950,빛샘전자,50685050000.0
054540,삼영엠텍,36106390000.0
103140,풍산,1273877290000.0
000490,대동공업,-138804330000.0
143240,사람인에이치알,318995850000.0
053350,이니텍,205396880000.0
011070,LG이노텍,1674541680000.0
126870,뉴로스,-11988460000.0
001800,오리온홀딩스,2586593330000.0
017180,명문제약,-11233850000.0
054630,에이디칩스,0.0
004540,깨끗한나라,-732494630000.0
100220,비상교육,197797560000.0
091590,남화토건,108376060000.0
056080,유진로봇,13203560000.0
102260,동성코퍼레이션,-46107990000.0
102280,쌍방울,138225250000.0
104830,원익머트리얼즈,638389630000.0
053950,경남제약,-9431900000.0
002020,코오롱,452748020000.0
127120,디엔에이링크,-34850400000.0
053700,삼보모터스,-132171220000.0
005930,삼성전자,861887034800000.0
032640,LG유플러스,5844970070000.0
130580,나이스디앤비,174782110000.0
003670,포스코케미칼,1813166860000.0
000300,대유플러스,-150477400000.0
131090,시큐브,50426010000.0
054920,한컴시큐어,48451590000.0
020560,아시아나항공,-6019878240000.0
001460,BYC,23408630000.0
041960,코미팜,-79598640000.0
101060,SBS미디어홀딩스,696603940000.0
003620,쌍용자동차,-2066139600000.0
115480,씨유메디칼시스템,32990400000.0
053160,프리엠스,54987280000.0
003410,쌍용양회공업,2466992690000.0
123260,파인넥스,-66237750000.0
052400,코나아이,-379472020000.0
005610,SPC삼립,595716090000.0
139670,넥스트리밍,-31108780000.0
054180,중앙오션,0.0
100250,진양홀딩스,174228320000.0
121800,비덴트,242417780000.0
049470,에스지에이,-94100720000.0
112240,에스에프씨,-82540970000.0
085310,엔케이,-340266370000.0
043090,팜스웰바이오,0.0
051600,한전KPS,2877421590000.0
138070,신진에스엠,61501450000.0
007570,일양약품,112611500000.0
053110,소리바다,-104552590000.0
093230,이아이디,6487010000.0
002320,한진,-669373590000.0
123570,이엠넷,101327150000.0
092440,기신정기,180209360000.0
002200,한국수출포장공업,314573060000.0
122870,와이지엔터테인먼트,361868100000.0
054800,아이디스홀딩스,1077338490000.0
044450,케이에스에스해운,-14449300000.0
005380,현대자동차,3568970440000.0
136510,쎄미시스코,2879550000.0
094280,효성아이티엑스,141786710000.0
047770,코데즈컴바인,42324740000.0
089530,에이티세미콘,29588170000.0
005360,모나미,59195110000.0
053800,안랩,345918890000.0
033270,한국유나이티드제약,0.0
009830,한화케미칼,1948117160000.0
089030,테크윙,274932970000.0
092200,디아이씨,-139680730000.0
040300,와이티엔,-17243800000.0
002030,아세아,1627216570000.0
097950,CJ제일제당,2777340680000.0
058820,CMG 제약,107319850000.0
035900,제이와이피엔터테인먼트,428865550000.0
007820,에스엠코어,43340040000.0
028670,팬오션,1770954350000.0
053590,한국테크놀로지,0.0
115530,씨엔플러스,-64200230000.0
004990,롯데지주,329805750000.0
021320,케이씨씨건설,624729300000.0
043290,케이맥,138081260000.0
001070,대한방직,-121546680000.0
097230,한진중공업,-1372082410000.0
053060,세동,-108010550000.0
090360,로보스타,73206120000.0
004410,서울식품공업,0.0
053610,프로텍,500928410000.0
096760,JW홀딩스,99579550000.0
003560,아이에이치큐,204420530000.0
000680,LS네트웍스,89938150000.0
096770,SK이노베이션,28802487330000.0
131220,대한과학,47739220000.0
001210,금호전기,-739700810000.0
052790,액토즈소프트,55002870000.0
002250,알보젠코리아,0.0
053450,세코닉스,-14818750000.0
131390,피앤이솔루션,166263940000.0
000140,하이트진로홀딩스,-1039896350000.0
053030,바이넥스,137401120000.0
143160,아이디스,124378190000.0
000320,노루홀딩스,161725440000.0
001780,알루코,-145659540000.0
053620,태양,21516790000.0
000270,기아자동차,19958103190000.0
095720,웅진씽크빅,501796680000.0
134780,화진,-85352000000.0
052300,더블유홀딩컴퍼니,-7807670000.0
004800,효성,619439310000.0
137950,제이씨케미칼,55698470000.0
001040,CJ,6007795310000.0
040910,아이씨디,570444430000.0
090370,메타랩스,0.0
049520,유아이엘,176950760000.0
123330,제닉,-159511210000.0
000150,두산,2554206790000.0
093370,후성,467390140000.0
048910,대원미디어,133328690000.0
139050,데일리블록체인,-11781270000.0
005010,휴스틸,335322070000.0
051980,중앙리빙테크,-30450340000.0
089980,상아프론테크,160796950000.0
093050,LF,2057163300000.0
051500,씨제이프레시웨이,315165300000.0
003090,대웅,1176309730000.0
044380,주연테크,1865680000.0
049120,파인디앤씨,17664550000.0
002900,동양물산기업,-270125910000.0
044820,코스맥스비티아이,174108520000.0
108380,대양전기공업,212028510000.0
043360,디지아이,0.0
003780,진양산업,41062360000.0
034590,인천도시가스,215147640000.0
003520,영진약품,0.0
052600,한네트,0.0
019770,탑금속,-54673340000.0
009770,삼정펄프,75260400000.0
052020,에스티큐브,-112286670000.0
002380,케이씨씨,5071024190000.0
137940,넥스트아이,180903290000.0
092220,케이이씨,49503470000.0
005300,롯데칠성음료,-354418100000.0
131100,리켐,10715830000.0
043220,에이치엘비파워,-183064570000.0
092230,KPX홀딩스,851181060000.0
138690,엘아이에스,63961650000.0
033790,스카이문스테크놀로지,-60672430000.0
089470,에이치디씨현대이피,208431070000.0
003200,일신방직,649743580000.0
122450,케이엠에이치,349140550000.0
002270,롯데푸드,0.0
051780,큐로홀딩스,-6558940000.0
121440,골프존뉴딘홀딩스,-25969420000.0
002790,아모레퍼시픽그룹,8439228180000.0
091090,세원셀론텍,-209477720000.0
052190,이에스에이,-111614820000.0
090350,노루페인트,219413010000.0
136540,윈스,181188960000.0
051490,나라엠앤디,31719220000.0
004150,한솔홀딩스,-23327170000.0
090430,아모레퍼시픽,6858443820000.0
038870,에코바이오홀딩스,49420950000.0
