종목코드,회사명,유동자산,유동부채,투자자산,비유동부채,영업이익
096300,한국월드와이드베트남부동산개발특별자산1호투자회사,0,0,0,0,0
001780,알루코,260667000000,384136000000,79455000000,7960000000,12083000000
095720,웅진씽크빅,470466000000,321758000000,12531000000,6796000000,33995000000
094800,미래에셋맵스아시아퍼시픽부동산공모1호투자회사,0,0,0,0,0
090370,메타랩스,0,0,0,0,0
093370,후성,121860000000,70604000000,125376000000,35425000000,39591000000
093050,LF,970064000000,298590000000,169823000000,52647000000,119508000000
044380,주연테크,32325000000,10298000000,5740000000,8555000000,-1503000000
044820,코스맥스비티아이,206841000000,409602000000,110365000000,284997000000,24137000000
034590,인천도시가스,170886000000,95984000000,71761000000,974000000,17960000000
009770,삼정펄프,158980000000,17800000000,3678000000,4000000,-4292000000
092220,케이이씨,154181000000,85457000000,40312000000,1452000000,3340000000
092230,KPX홀딩스,580440000000,236006000000,54684000000,179854000000,33836000000
089470,에이치디씨현대이피,393237000000,265066000000,58254000000,30467000000,9294000000
091090,세원셀론텍,111619000000,119988000000,41667000000,4684000000,-9724000000
090350,노루페인트,259675000000,217526000000,104450000000,28768000000,3840000000
090430,아모레퍼시픽,1567236000000,763212000000,161508000000,26912000000,481981000000
032350,롯데관광개발,220142000000,74545000000,151296000000,12382000000,3004000000
090080,평화산업,93361000000,139665000000,16566000000,16000000000,-16048000000
049800,우진플라임,119643000000,101789000000,119196000000,929000000,-11777000000
035510,신세계아이앤씨,0,0,0,0,0
088790,진도,103592000000,54741000000,1255000000,1214000000,7315000000
088980,맥쿼리한국인프라투융자회사,0,0,0,0,0
023530,롯데쇼핑,5708396000000,6603743000000,7228193000000,1038673000000,597004000000
086280,현대글로비스,4636817000000,3329746000000,1794518000000,705806000000,185266000000
084870,티비에이치글로벌,0,0,0,0,0
086790,하나금융지주,0,0,0,0,0
001560,제일연마공업,53557000000,17773000000,3759000000,10961000000,5610000000
079430,현대리바트,442573000000,212245000000,19277000000,710000000,48133000000
084010,대한제강,349767000000,194700000000,27489000000,18045000000,2478000000
075180,새론오토모티브,149975000000,26979000000,17721000000,16950000000,9544000000
083420,그린케미칼,0,0,0,0,0
083370,동북아12호선박투자회사,0,0,0,0,0
083380,동북아13호선박투자회사,0,0,0,0,0
084690,대상홀딩스,1081153000000,839643000000,695166000000,93642000000,132873000000
071950,코아스,38439000000,51698000000,3390000000,862000000,1232000000
084680,이월드,0,0,0,0,0
084670,동양고속,35611000000,59488000000,23780000000,1085000000,3007000000
042700,한미반도체,113439000000,29311000000,1161000000,14215000000,56789000000
004890,동일산업,299255000000,48544000000,6243000000,28573000000,17304000000
010960,삼호개발,158711000000,86241000000,6590000000,76815000000,24409000000
073240,금호타이어,1209828000000,1086476000000,1755338000000,173000000,-14805000000
079160,씨제이씨지브이,543371000000,1036248000000,2650432000000,117340000000,23515000000
081000,일진다이아몬드,96620000000,43950000000,12692000000,146000000,15178000000
014830,유니드,440202000000,307482000000,148947000000,40918000000,80055000000
041650,상신브레이크,236228000000,190359000000,65473000000,997000000,20714000000
079660,사조해표,176465000000,215237000000,29505000000,120494000000,14561000000
023810,인팩,124491000000,137649000000,28931000000,4747000000,3198000000
078930,GS,3285134000000,4568776000000,7537217000000,6763773000000,2209837000000
077500,유니퀘스트,185875000000,113334000000,19184000000,102961000000,2046000000
058730,다스텍,127701000000,75259000000,10452000000,16261000000,19432000000
034220,LG디스플레이,8800127000000,9954483000000,8334981000000,129063000000,92891000000
078000,텔코웨어,90833000000,12198000000,2895000000,1270000000,6033000000
077970,STX엔진,487838000000,336087000000,294441000000,16000000000,8359000000
034310,NICE홀딩스,1208350000000,917628000000,215342000000,135815000000,128331000000
019680,대교,285206000000,152176000000,61326000000,145063000000,25607000000
024110,중소기업은행,0,0,0,0,0
074610,나노메딕스,37991000000,51723000000,1078000000,19224000000,-11446000000
025750,한솔홈데코,84264000000,67915000000,78519000000,673000000,9180000000
007660,이수페타시스,268835000000,268259000000,59676000000,10935000000,7500000000
035250,강원랜드,1759033000000,636028000000,8436000000,939471000000,430700000000
037270,와이지플러스,60221000000,22758000000,8492000000,26704000000,807000000
072710,농심홀딩스,270245000000,313029000000,38415000000,772461000000,13621000000
071050,한국투자금융지주,0,0,0,0,0
072130,유엔젤,33073000000,10084000000,116000000,0,3012000000
034120,SBS,493549000000,210193000000,178972000000,83412000000,5085000000
036570,엔씨소프트,1576409000000,473074000000,89233000000,951403000000,614929000000
071090,하이스틸,80650000000,57950000000,46651000000,3523000000,-5207000000
069730,DSR제강,0,0,0,0,0
006890,태경화학,19696000000,9051000000,6147000000,47467000000,3161000000
011500,한농화성,0,0,0,0,0
069960,현대백화점,1258796000000,1293203000000,866267000000,637505000000,356659000000
069460,대호에이엘,0,0,0,0,0
069620,대웅제약,515666000000,367401000000,232636000000,18734000000,24566000000
027740,마니커,37021000000,79175000000,10712000000,8724000000,460000000
036530,S&T홀딩스,1190037000000,402288000000,233175000000,8179000000,17869000000
069260,휴켐스,592803000000,213145000000,78292000000,96047000000,28777000000
033530,세종공업,475792000000,467637000000,42007000000,33195000000,208000000
058430,포스코강판,251895000000,196435000000,39074000000,1072000000,17751000000
068290,삼성출판사,84645000000,55564000000,19256000000,5628000000,3311000000
067830,세이브존아이앤씨,93557000000,87583000000,53580000000,33730000000,33912000000
030610,교보증권,0,0,0,0,0
009240,한샘,439784000000,299905000000,65778000000,31988000000,56033000000
034300,신세계건설,0,0,0,0,0
017370,우신시스템,156676000000,158897000000,27773000000,3169000000,-1119000000
066570,LG전자,20176127000000,17509595000000,11487434000000,5712525000000,900639000000
024720,한국콜마홀딩스,263517000000,254092000000,169553000000,376860000000,23672000000
064960,S&T모티브,596830000000,274653000000,64319000000,1608000000,13875000000
037710,광주신세계,0,0,0,0,0
020760,일진디스플레이,0,0,0,0,0
033180,필룩스,137983000000,132498000000,11599000000,63458000000,1035000000
063160,종근당바이오,0,0,0,0,0
055550,신한금융지주회사,0,0,0,0,0
021240,웅진코웨이,843718000000,1234310000000,56895000000,9908000000,519827000000
058650,세아홀딩스,2220607000000,1529758000000,916815000000,252879000000,117512000000
051900,LG생활건강,2021472000000,1705821000000,382915000000,59859000000,322096000000
051910,LG화학,13198237000000,8026428000000,5986566000000,428756000000,275367000000
047040,대우건설,5197371000000,4844628000000,1571496000000,334604000000,628734000000
047050,포스코인터내셔널,5980171000000,5421081000000,1570401000000,385239000000,472623000000
042660,대우조선해양,7348404000000,4575359000000,3271674000000,471035000000,199622000000
042670,두산인프라코어,4426822000000,3778574000000,3429778000000,167769000000,848127000000
051630,진양화학,0,0,0,0,0
049770,동원F&B,726004000000,449106000000,436045000000,12439000000,34915000000
034020,두산중공업,10608983000000,12497853000000,7267273000000,316094000000,322331000000
010040,한국내화,0,0,0,0,0
016450,한세예스24홀딩스,1075292000000,903560000000,157019000000,101048000000,56481000000
016710,대성홀딩스,344745000000,306428000000,278295000000,267435000000,18440000000
003220,대원제약,106724000000,57694000000,34546000000,5690000000,30746000000
036460,한국가스공사,9146609000000,8280415000000,21925488000000,1737759000000,869453000000
007120,미래아이앤지,23217000000,1446000000,991000000,24195000000,-1424000000
000850,화천기공,181588000000,59184000000,38389000000,148570000000,8558000000
036580,팜스코,411776000000,486004000000,87329000000,23180000000,23721000000
033780,케이티앤지,6928105000000,2409381000000,438144000000,555969000000,348165000000
009540,현대중공업,12316693000000,9410253000000,2208682000000,529041000000,-522520000000
024090,디씨엠,96127000000,19827000000,5204000000,10524000000,8479000000
006840,AK홀딩스,1306700000000,1331030000000,593003000000,207683000000,269718000000
006650,대한유화,532835000000,193755000000,157971000000,144468000000,56921000000
035150,백산,191883000000,140777000000,25725000000,7250000000,10151000000
035000,지투알,590112000000,437950000000,10943000000,1210000000,25412000000
033250,체시스,24765000000,46933000000,14226000000,1273000000,45000000
033240,자화전자,196162000000,73337000000,1904000000,29793000000,-7718000000
030200,케이티,12396089000000,9926839000000,8582531000000,959337000000,402090000000
019490,하이트론씨스템즈,39362000000,25300000000,4491000000,3514000000,-977000000
030000,제일기획,1801626000000,1165741000000,113544000000,37816000000,181097000000
026890,디피씨,128250000000,50407000000,2628000000,49391000000,2015000000
029460,케이씨,272472000000,105448000000,52056000000,217944000000,76131000000
024890,대원화성,76356000000,44514000000,7047000000,103000000,5194000000
017940,E1,1446395000000,1362519000000,886969000000,574029000000,14013000000
018670,SK가스,1609768000000,1500615000000,612210000000,767690000000,102999000000
023590,다우기술,15905914000000,15123509000000,1356910000000,1045084000000,323946000000
014440,영보화학,73876000000,32246000000,313000000,212000000,7233000000
011790,SKC,910125000000,1081503000000,1056826000000,596153000000,201129000000
010600,웰바이오텍,71625000000,34198000000,557000000,25384000000,-8451000000
025890,한국주강,0,0,0,0,0
024900,덕양산업,328742000000,366392000000,82609000000,5165000000,3608000000
015350,부산도시가스,0,0,0,0,0
023960,에쓰씨엔지니어링,0,0,0,0,0
023800,인지컨트롤스,175859000000,217339000000,40237000000,85772000000,11089000000
012320,경동인베스트,188460000000,78414000000,115721000000,196587000000,39213000000
025530,에스제이엠홀딩스,177519000000,36547000000,9068000000,15786000000,1780000000
031820,콤텍시스템,0,0,0,0,0
000660,에스케이하이닉스,19894146000000,13031852000000,3774152000000,4888020000000,20843750000000
023150,MH에탄올,29576000000,141080000000,207512000000,10938000000,1228000000
005320,국동,83767000000,63171000000,11854000000,203000000,5692000000
023450,동남합성,0,0,0,0,0
028050,삼성엔지니어링,2972578000000,3351177000000,243567000000,82771000000,206081000000
029530,신도리코,766836000000,62638000000,16016000000,4280000000,24889000000
015360,예스코홀딩스,506323000000,432907000000,440691000000,155898000000,25214000000
016800,퍼시스,0,0,0,0,0
024070,WISCOM,75915000000,8197000000,2436000000,4071000000,-345000000
030720,동원수산,58349000000,25773000000,24814000000,12250000000,4999000000
025560,미래산업,47396000000,16116000000,4935000000,482000000,-11440000000
030210,KTB투자증권,0,0,0,0,0
012630,HDC,967155000000,688185000000,608139000000,1300351000000,95427000000
017900,광전자,130835000000,23243000000,14475000000,22543000000,2536000000
025540,한국단자공업,418867000000,130175000000,39461000000,51523000000,46198000000
003160,디아이,88660000000,49168000000,17243000000,15883000000,21524000000
011930,신성이엔지,159849000000,272010000000,27051000000,56500000000,-4152000000
019180,티에이치엔,110405000000,137686000000,34451000000,21945000000,11217000000
018880,한온시스템,2954541000000,2611600000000,2033430000000,104078000000,93465000000
021820,세원정공,386706000000,112699000000,20736000000,86885000000,-20017000000
027970,세하,0,0,0,0,0
006740,영풍제지,0,0,0,0,0
